hostname,city,region,country,loc,org,postal,timezone,anycast
scan-13e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
