hostname,city,region,country,loc,org,postal,timezone,anycast
104-203-93-2.static4.bluestreamfiber.net,Houston,Texas,US,"29.7633,-95.3633",AS30404 Blue Stream,77002,America/Chicago,
syn-071-085-106-211.res.spectrum.com,Anderson,South Carolina,US,"34.5261,-82.6304",AS20115 Charter Communications LLC,29621,America/New_York,
172-245-168-160-host.colocrossing.com,Buffalo,New York,US,"42.8865,-78.8784",AS36352 HostPapa,14202,America/New_York,
vps3018388.trouble-free.net,New York City,New York,US,"40.7143,-74.0060","AS19318 Interserver, Inc",10001,America/New_York,
ip68-8-127-235.sd.sd.cox.net,San Diego,California,US,"32.7157,-117.1647",AS22773 Cox Communications Inc.,92101,America/Los_Angeles,
,Piscataway,New Jersey,US,"40.4993,-74.3990",AS23470 ReliableSite.Net LLC,08854,America/New_York,
,Toronto,Ontario,CA,"43.7064,-79.3986","AS14061 DigitalOcean, LLC",M5A,America/Toronto,
vps2945616.trouble-free.net,New York City,New York,US,"40.7143,-74.0060","AS19318 Interserver, Inc",10001,America/New_York,
wsip-174-64-79-250.ga.at.cox.net,Gainesville,Florida,US,"29.6516,-82.3248",AS22773 Cox Communications Inc.,32601,America/New_York,
vps2981444.trouble-free.net,New York City,New York,US,"40.7143,-74.0060","AS19318 Interserver, Inc",10001,America/New_York,
hudson.chargedcheap.info,Buffalo,New York,US,"42.8865,-78.8784",AS36352 HostPapa,14202,America/New_York,
,Carolina,Carolina,PR,"18.3808,-65.9574",AS14638 Liberty Communications of Puerto Rico LLC,00983,America/Puerto_Rico,
702communications.com,Fargo,North Dakota,US,"46.8772,-96.7898",AS15267 702 Communications,58106,America/Chicago,
171.204.gomoorhead.com,Fargo,North Dakota,US,"46.8772,-96.7898",AS15267 702 Communications,58106,America/Chicago,
,Las Vegas,Nevada,US,"36.1750,-115.1372",AS53667 FranTech Solutions,89111,America/Los_Angeles,
pool-71-187-74-118.nwrknj.fios.verizon.net,Paterson,New Jersey,US,"40.9168,-74.1718",AS701 Verizon Business,07501,America/New_York,
,Kingston,Kingston,JM,"17.9970,-76.7936","AS23520 Columbus Networks USA, Inc.",,America/Jamaica,
209-107-214-144.sea.as54203.net,Seattle,Washington,US,"47.6062,-122.3321",,98101,America/Los_Angeles,
,San Martin,California,US,"37.0849,-121.6102","AS30640 Etheric Networks, Inc.",95046,America/Los_Angeles,
syn-074-064-017-162.res.spectrum.com,New York City,New York,US,"40.7143,-74.0060",AS12271 Charter Communications Inc,10001,America/New_York,
h-68-167-136-233.snva.ca.globalcapacity.com,Sunnyvale,California,US,"37.3688,-122.0363",AS3257 GTT Communications Inc.,94088,America/Los_Angeles,
ool-44c64f28.dyn.optonline.net,Manville,New Jersey,US,"40.5409,-74.5877",AS6128 Cablevision Systems Corp.,08835,America/New_York,
pool-108-4-30-3.rcmdva.fios.verizon.net,Laurel,Virginia,US,"37.6429,-77.5089",AS701 Verizon Business,23060,America/New_York,
162-206-154-249.lightspeed.gdrpmi.sbcglobal.net,Grand Rapids,Michigan,US,"42.9659,-85.6527","AS7018 AT&T Enterprises, LLC",49503,America/Detroit,
bras-base-toroon3657w-grc-56-70-54-130-224.dsl.bell.ca,Willowdale,Ontario,CA,"43.7667,-79.3991",AS577 Bell Canada,M2N,America/Toronto,
,Montréal,Quebec,CA,"45.5088,-73.5878",AS577 Bell Canada,H3H,America/Toronto,
c-73-241-43-46.hsd1.ca.comcast.net,Los Angeles,California,US,"34.0522,-118.2437","AS7922 Comcast Cable Communications, LLC",90009,America/Los_Angeles,
c-76-16-241-237.hsd1.il.comcast.net,Hobart,Indiana,US,"41.5323,-87.2550","AS7922 Comcast Cable Communications, LLC",46342,America/Chicago,
s0106d4e2cb51d632.vc.shawcable.net,Vancouver,British Columbia,CA,"49.2497,-123.1193",AS6327 Shaw Communications Inc.,V5Y,America/Vancouver,
,Vancouver,British Columbia,CA,"49.2497,-123.1193",AS6327 Shaw Communications Inc.,V5Y,America/Vancouver,
96-91-158-182-static.hfc.comcastbusiness.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
vps3019075.trouble-free.net,New York City,New York,US,"40.7143,-74.0060","AS19318 Interserver, Inc",10001,America/New_York,
192-210-146-41-host.colocrossing.com,Buffalo,New York,US,"42.8865,-78.8784",AS36352 HostPapa,14202,America/New_York,
54.219.167.72.host.secureserver.net,Phoenix,Arizona,US,"33.4484,-112.0740","AS26496 GoDaddy.com, LLC",85001,America/Phoenix,
syn-072-229-208-238.res.spectrum.com,New York City,New York,US,"40.7239,-73.8997",AS12271 Charter Communications Inc,11378,America/New_York,
c-76-105-75-85.hsd1.ga.comcast.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
static-71-165-90-5.lsanca.fios.frontiernet.net,Ashburn,Virginia,US,"39.0437,-77.4875",,20147,America/New_York,
71-17-10-8.sktn.static.sasknet.sk.ca,Saskatoon,Saskatchewan,CA,"52.1324,-106.6689",AS803 Saskatchewan Telecommunications,S7W,America/Regina,
syn-071-043-092-101.biz.spectrum.com,Melbourne,Florida,US,"28.0691,-80.6200","AS33363 Charter Communications, Inc",32901,America/New_York,
c-67-191-171-225.hsd1.ga.comcast.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
413387dd.cst.lightpath.net,New York City,New York,US,"40.7143,-74.0060",AS54004 Optimum WiFi,10001,America/New_York,
,Washington,District of Columbia,US,"38.8951,-77.0364","AS7922 Comcast Cable Communications, LLC",20004,America/New_York,
205-185-223-238.sea.as62651.net,Seattle,Washington,US,"47.6151,-122.3447","AS62651 Strong Technology, LLC.",98121,America/Los_Angeles,
static-170-150-251-205.networktransit.net,Houston,Texas,US,"29.7633,-95.3633",AS11042 NETWORK TRANSIT HOLDINGS LLC,77002,America/Chicago,
173-26-26-202.client.mchsi.com,Mason City,Iowa,US,"43.1536,-93.2010",AS30036 Mediacom Communications Corp,50401,America/Chicago,
backup.schm00p.net,Las Vegas,Nevada,US,"36.1750,-115.1372",AS53667 FranTech Solutions,89111,America/Los_Angeles,
23-31-126-140-static.hfc.comcastbusiness.net,Cammack Village,Arkansas,US,"34.7781,-92.3490","AS7922 Comcast Cable Communications, LLC",72207,America/Chicago,
c-73-194-248-194.hsd1.nj.comcast.net,North Middletown,New Jersey,US,"40.4395,-74.1190","AS7922 Comcast Cable Communications, LLC",07734,America/New_York,
,Brandon,Mississippi,US,"32.2732,-89.9859",AS11272 C Spire Fiber,39043,America/Chicago,
,North Bergen,New Jersey,US,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,
syn-074-062-041-170.biz.spectrum.com,Bellflower,California,US,"33.8867,-118.1265",AS20001 Charter Communications Inc,90706,America/Los_Angeles,
c-73-111-109-114.hsd1.il.comcast.net,Burbank,Illinois,US,"41.7339,-87.7795","AS7922 Comcast Cable Communications, LLC",60459,America/Chicago,
syn-108-188-233-018.biz.spectrum.com,Port Orange,Florida,US,"29.1372,-81.0241","AS33363 Charter Communications, Inc",32129,America/New_York,
d173-183-148-246.abhsia.telus.net,Calgary,Alberta,CA,"51.0501,-114.0853",AS852 TELUS Communications Inc.,T3S,America/Edmonton,
,Land O' Lakes,Florida,US,"28.2189,-82.4576",AS23314 Summit Broadband,34639,America/New_York,
216-67-120-154-radius.dynamic.acsalaska.net,Anchorage,Alaska,US,"61.1900,-149.8938","AS7782 Alaska Communications Systems Group, Inc.",99503,America/Anchorage,
welcare.bid,Phoenix,Arizona,US,"33.4484,-112.0740",AS20454 SECURED SERVERS LLC,85001,America/Phoenix,
host-173-252-26-108.public.eastlink.ca,Grande Prairie,Alberta,CA,"55.1667,-118.8027",AS11260 EastLink,T8W,America/Edmonton,
199.34.16.153.hosted.at.cloudsouth.com,Miami,Florida,US,"25.7743,-80.1937",AS13886 Sipbound Corporation,33101,America/New_York,
c-24-98-228-56.hsd1.ga.comcast.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
syn-024-107-123-113.res.spectrum.com,Chesterfield,Missouri,US,"38.6631,-90.5771",AS20115 Charter Communications LLC,63006,America/Chicago,
24.246.203.93.diodecom.net,Beatrice,Nebraska,US,"40.2681,-96.7470",AS40918 Diode Cable Company,68310,America/Chicago,
,San Jose,California,US,"37.3394,-121.8950",,95025,America/Los_Angeles,
,Santa Fe Springs,California,US,"33.9472,-118.0854","AS7155 ViaSat,Inc.",90670,America/Los_Angeles,
,Ottawa,Ontario,CA,"45.4112,-75.6981",AS577 Bell Canada,K1R,America/Toronto,
,Winter Park,Florida,US,"28.5974,-81.3036",,32792,America/New_York,
,Toronto,Ontario,CA,"43.6518,-79.5076",AS577 Bell Canada,M8X,America/Toronto,
64-252-220-61.lightspeed.hstntx.sbcglobal.net,Houston,Texas,US,"29.6709,-95.5866","AS7018 AT&T Enterprises, LLC",77099,America/Chicago,
96-94-3-57-static.hfc.comcastbusiness.net,Brandon,Florida,US,"27.9378,-82.2859","AS7922 Comcast Cable Communications, LLC",33509,America/New_York,
47-204-191-127.fdr01.wssd.fl.ip.frontiernet.net,Tampa,Florida,US,"27.9475,-82.4584","AS5650 Frontier Communications of America, Inc.",33606,America/New_York,
syn-066-168-086-114.res.spectrum.com,Dalton,Georgia,US,"34.7635,-84.9875",AS20115 Charter Communications LLC,30720,America/New_York,
syn-071-047-129-069.res.spectrum.com,Orlando,Florida,US,"28.5289,-81.4787","AS33363 Charter Communications, Inc",32835,America/New_York,
syn-072-239-181-187.res.spectrum.com,Winter Park,Florida,US,"28.5974,-81.3036","AS33363 Charter Communications, Inc",32792,America/New_York,
c-76-102-123-183.hsd1.ca.comcast.net,Oakland,California,US,"37.8044,-122.2708","AS7922 Comcast Cable Communications, LLC",94604,America/Los_Angeles,
dhcp-e8-2c-6d-9f-89-60.cpe.wightman.ca,Harriston,Ontario,CA,"43.9120,-80.8720",AS29974 Wightman Telecom,N0G,America/Toronto,
smtp7.taobastore.com,New York City,New York,US,"40.7143,-74.0060",AS53667 FranTech Solutions,10001,America/New_York,
108-10-agavebb-nm.abq.nm.agavebb.net,Miramar Beach,Florida,US,"30.3744,-86.3586",AS18771 3ds Communications LLC,32550,America/Chicago,
n38.datasoft.ws,Boston,Massachusetts,US,"42.3492,-71.0768",,02116,America/New_York,
ec2-34-200-17-126.compute-1.amazonaws.com,Ashburn,Virginia,US,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",20147,America/New_York,
ec2-54-214-113-70.us-west-2.compute.amazonaws.com,Boardman,Oregon,US,"45.8399,-119.7006","AS16509 Amazon.com, Inc.",97818,America/Los_Angeles,
ool-4573fcfc.dyn.optonline.net,New York City,New York,US,"40.7143,-74.0060",AS6128 Cablevision Systems Corp.,10001,America/New_York,
45.77.154.132.vultrusercontent.com,Piscataway,New Jersey,US,"40.4993,-74.3990","AS20473 The Constant Company, LLC",08854,America/New_York,
static-173-56-119-108.nycmny.fios.verizon.net,New York City,New York,US,"40.7143,-74.0060",AS701 Verizon Business,10001,America/New_York,
155.138.244.123.vultrusercontent.com,Dallas,Texas,US,"32.7831,-96.8067","AS20473 The Constant Company, LLC",75201,America/Chicago,
,London,England,GB,"51.5085,-0.1257","AS16509 Amazon.com, Inc.",E1W,Europe/London,
syn-098-102-095-211.biz.spectrum.com,Racine,Wisconsin,US,"42.7242,-87.8551",AS10796 Charter Communications Inc,53406,America/Chicago,
,Miramar,Florida,US,"25.9873,-80.2323","AS7922 Comcast Cable Communications, LLC",33023,America/New_York,
,Ashburn,Virginia,US,"39.0437,-77.4875","AS212669 Karolio IT paslaugos, UAB",20147,America/New_York,
host-208-103-224-44.public.eastlink.ca,Aylmer,Ontario,CA,"42.7668,-80.9830",AS11260 EastLink,N5H,America/Toronto,
209-107-214-64.sea.as54203.net,Seattle,Washington,US,"47.6062,-122.3321",,98101,America/Los_Angeles,
551602.cloudwaysapps.com,North Bergen,New Jersey,US,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,
,North Bergen,New Jersey,US,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,
syn-098-030-109-120.res.spectrum.com,Lexington,Kentucky,US,"38.0102,-84.4274",AS10796 Charter Communications Inc,40509,America/New_York,
105.96.227.35.bc.googleusercontent.com,North Charleston,South Carolina,US,"32.8546,-79.9748",AS396982 Google LLC,29415,America/New_York,
host-67-204-213-1.public.eastlink.ca,Greater Sudbury,Ontario,CA,"46.4900,-80.9900",AS11260 EastLink,P3C,America/Toronto,
ec2-34-220-58-197.us-west-2.compute.amazonaws.com,Boardman,Oregon,US,"45.8399,-119.7006","AS16509 Amazon.com, Inc.",97818,America/Los_Angeles,
static-71-250-252-81.nwrknj.east.verizon.net,Newark,New Jersey,US,"40.7357,-74.1724",AS701 Verizon Business,07102,America/New_York,
syn-072-175-252-244.biz.spectrum.com,Great Falls,Montana,US,"47.4950,-111.2502",AS33588 Charter Communications LLC,59405,America/Denver,
,Grants,New Mexico,US,"35.1476,-107.8526","AS209 CenturyLink Communications, LLC",87020,America/Denver,
syn-066-190-207-079.res.spectrum.com,Hammond,Louisiana,US,"30.4911,-90.4697",AS20115 Charter Communications LLC,70403,America/Chicago,
syn-067-052-244-234.biz.spectrum.com,Milwaukee,Wisconsin,US,"43.0389,-87.9065",AS10796 Charter Communications Inc,53201,America/Chicago,
,Ottawa,Ontario,CA,"45.4112,-75.6981",AS577 Bell Canada,K1R,America/Toronto,
syn-050-084-106-234.biz.spectrum.com,San Antonio,Texas,US,"29.4241,-98.4936",AS11427 Charter Communications Inc,78205,America/Chicago,
,Los Angeles,California,US,"34.0522,-118.2437",AS40065 CNSERVERS LLC,90009,America/Los_Angeles,
,Reston,Virginia,US,"38.9687,-77.3411","AS14618 Amazon.com, Inc.",20190,America/New_York,
,North Bergen,New Jersey,US,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,
,Houston,Texas,US,"29.7633,-95.3633","AS7922 Comcast Cable Communications, LLC",77002,America/Chicago,
vexations.healingshort.com,Portland,Oregon,US,"45.5207,-122.6888","AS46841 Fork Networking, LLC",97205,America/Los_Angeles,
209-107-214-62.sea.as54203.net,Seattle,Washington,US,"47.6062,-122.3321",,98101,America/Los_Angeles,
host-24-207-76-124.public.eastlink.ca,Ladner,British Columbia,CA,"49.0894,-123.0824",AS11260 EastLink,V4K,America/Vancouver,
syn-072-229-036-216.res.spectrum.com,New York City,New York,US,"40.7143,-74.0060",AS12271 Charter Communications Inc,10001,America/New_York,
172-5-132-167.lightspeed.hstntx.sbcglobal.net,Pinehurst,Texas,US,"30.1711,-95.6825","AS7018 AT&T Enterprises, LLC",77362,America/Chicago,
,Toronto,Ontario,CA,"43.7064,-79.3986","AS14061 DigitalOcean, LLC",M5A,America/Toronto,
,Vancouver,British Columbia,CA,"49.2497,-123.1193",AS852 TELUS Communications Inc.,V5Y,America/Vancouver,
172-245-16-11-host.colocrossing.com,Marietta,Georgia,US,"33.9526,-84.5499",AS36352 HostPapa,30006,America/New_York,
azkoitiaguka.eus,Frankfurt am Main,Hesse,DE,"50.1155,8.6842","AS14061 DigitalOcean, LLC",60306,Europe/Berlin,
ool-944b3cdd.dyn.optonline.net,New York City,New York,US,"40.7143,-74.0060",AS6128 Cablevision Systems Corp.,10001,America/New_York,
,Los Angeles,California,US,"34.0522,-118.2437","AS16509 Amazon.com, Inc.",90009,America/Los_Angeles,
c-76-28-51-24.hsd1.ma.comcast.net,New Bedford,Massachusetts,US,"41.6353,-70.9270","AS7922 Comcast Cable Communications, LLC",02740,America/New_York,
c-73-55-190-148.hsd1.tx.comcast.net,Houston,Texas,US,"29.7633,-95.3633","AS7922 Comcast Cable Communications, LLC",77002,America/Chicago,
syn-074-075-165-081.res.spectrum.com,Center Ossipee,New Hampshire,US,"43.7551,-71.1520",AS11351 Charter Communications Inc,03814,America/New_York,
ip68-5-56-102.oc.oc.cox.net,Rancho Santa Margarita,California,US,"33.6409,-117.6031",AS22773 Cox Communications Inc.,92688,America/Los_Angeles,
,Pompano Beach,Florida,US,"26.2379,-80.1248","AS13645 BroadbandONE, LLC",33060,America/New_York,
ec2-34-228-198-204.compute-1.amazonaws.com,Ashburn,Virginia,US,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",20147,America/New_York,
89.28.199.35.bc.googleusercontent.com,Washington,District of Columbia,US,"38.8951,-77.0364",AS396982 Google LLC,20004,America/New_York,
c-68-59-67-190.hsd1.al.comcast.net,Dothan,Alabama,US,"31.2232,-85.3905","AS7922 Comcast Cable Communications, LLC",36302,America/Chicago,
47-198-242-97.tamp.fl.frontiernet.net,Ruskin,Florida,US,"27.7209,-82.4331","AS5650 Frontier Communications of America, Inc.",33575,America/New_York,
,Burnaby,British Columbia,CA,"49.2664,-122.9526",AS16696 iTel Networks Inc,V5A,America/Vancouver,
mdm-prod-4ae45699.mongo.ondigitalocean.com,Doddaballapura,Karnataka,IN,"13.2257,77.5750","AS14061 DigitalOcean, LLC",560100,Asia/Kolkata,
,Beauharnois,Quebec,CA,"45.3134,-73.8725",AS16276 OVH SAS,J6N,America/Toronto,
104-237-226-135-host.colocrossing.com,Buffalo,New York,US,"42.8865,-78.8784",AS16628 DedFiberCo,14202,America/New_York,
,Seattle,Washington,US,"47.5413,-122.3129","AS16509 Amazon.com, Inc.",98108,America/Los_Angeles,
ool-18bb6cc5.dyn.optonline.net,Medford,New York,US,"40.8176,-73.0001",AS6128 Cablevision Systems Corp.,11763,America/New_York,
syn-035-137-139-215.res.spectrum.com,Palm Coast,Florida,US,"29.4861,-81.2045","AS33363 Charter Communications, Inc",32164,America/New_York,
121.127.234.35.bc.googleusercontent.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS396982 Google LLC,60306,Europe/Berlin,
ool-2f14344a.dyn.optonline.net,Bridgeport,Connecticut,US,"41.1792,-73.1894",AS6128 Cablevision Systems Corp.,06602,America/New_York,
,Buenos Aires,Buenos Aires F.D.,AR,"-34.6131,-58.3772",AS64151 EDGEUNO ARGENTINA S.A.,1871,America/Argentina/Buenos_Aires,
mail.evergreenarch.net,Dallas,Texas,US,"32.7831,-96.8067",AS11427 Charter Communications Inc,75201,America/Chicago,
,Secaucus,New Jersey,US,"40.7895,-74.0565",,07094,America/New_York,
c-71-63-167-34.hsd1.or.comcast.net,Vancouver,Washington,US,"45.6387,-122.6615","AS7922 Comcast Cable Communications, LLC",98666,America/Los_Angeles,
syn-098-151-143-082.res.spectrum.com,Kīhei,Hawaii,US,"20.7646,-156.4458",AS20001 Charter Communications Inc,96753,Pacific/Honolulu,
,Land O' Lakes,Florida,US,"28.2189,-82.4576",AS23314 Summit Broadband,34639,America/New_York,
h66-222-19-122.pqlkmn.dedicated.static.tds.net,Pequot Lakes,Minnesota,US,"46.6030,-94.3094",AS4181 TDS TELECOM,56472,America/Chicago,
s0106bc3e07908d93.wp.shawcable.net,Winnipeg,Manitoba,CA,"49.8844,-97.1470",AS6327 Shaw Communications Inc.,R3B,America/Winnipeg,
,Knoxville,Tennessee,US,"35.9606,-83.9207","AS7922 Comcast Cable Communications, LLC",37902,America/New_York,
,San Jose,California,US,"37.3394,-121.8950",AS6167 Verizon Business,95025,America/Los_Angeles,
,Toronto,Ontario,CA,"43.7064,-79.3986",AS396338 Altima Telecom,M5A,America/Toronto,
,Paris,Île-de-France,FR,"48.8534,2.3488",AS212238 Datacamp Limited,75000,Europe/Paris,
76-229-233-134.lightspeed.clmboh.sbcglobal.net,Columbus,Ohio,US,"40.0535,-83.0187","AS7018 AT&T Enterprises, LLC",43214,America/New_York,
syn-072-186-205-098.res.spectrum.com,Bradenton,Florida,US,"27.4678,-82.5120","AS33363 Charter Communications, Inc",34208,America/New_York,
host253.srhllc.com,Philadelphia,Pennsylvania,US,"39.9524,-75.1636",AS701 Verizon Business,19099,America/New_York,
,Grants,New Mexico,US,"35.1476,-107.8526","AS209 CenturyLink Communications, LLC",87020,America/Denver,
syn-067-254-232-020.res.spectrum.com,Elmont,New York,US,"40.7090,-73.7401",AS12271 Charter Communications Inc,11429,America/New_York,
208-104-157-189.fttp.swansc.sta.comporium.net,Fort Mill,South Carolina,US,"35.0108,-80.9266","AS14615 Comporium, Inc",29715,America/New_York,
,Toronto,Ontario,CA,"43.7064,-79.3986",AS31898 Oracle Corporation,M5A,America/Toronto,
,New York City,New York,US,"40.7143,-74.0060",AS395839 HOSTKEY,10001,America/New_York,
21.184.154.104.bc.googleusercontent.com,Council Bluffs,Iowa,US,"41.2619,-95.8608",AS396982 Google LLC,51502,America/Chicago,
137-118-109-187.fiberpppoe.gotricounty.com,Belhaven,North Carolina,US,"35.5402,-76.6230","AS22191 Wilkes Communications, Inc.",27810,America/New_York,
,Frankfurt am Main,Hesse,DE,"50.1155,8.6842","AS14061 DigitalOcean, LLC",60306,Europe/Berlin,
,London,England,GB,"51.5085,-0.1257","AS14061 DigitalOcean, LLC",E1W,Europe/London,
,Singapore,Singapore,SG,"1.3215,103.6957","AS14061 DigitalOcean, LLC",627753,Asia/Singapore,
sydnns0123w-47-54-40-238.dhcp-dynamic.fibreop.ns.bellaliant.net,Sydney,Nova Scotia,CA,"46.1351,-60.1831",AS855 Bell Canada,B1P,America/Glace_Bay,
,Knoxville,Tennessee,US,"35.9606,-83.9207","AS7922 Comcast Cable Communications, LLC",37902,America/New_York,
syn-076-186-118-184.res.spectrum.com,Plano,Texas,US,"33.0250,-96.7397",AS11427 Charter Communications Inc,75075,America/Chicago,
c-73-115-70-84.hsd1.tx.comcast.net,Houston,Texas,US,"29.7633,-95.3633","AS7922 Comcast Cable Communications, LLC",77002,America/Chicago,
,Hamilton,Ontario,CA,"43.2501,-79.8496",AS812 Rogers Communications Canada Inc.,L8M,America/Toronto,
,Frankfurt am Main,Hesse,DE,"50.1155,8.6842","AS14061 DigitalOcean, LLC",60306,Europe/Berlin,
162-232-79-23.lightspeed.brhmal.sbcglobal.net,Pinson,Alabama,US,"33.6890,-86.6833","AS7018 AT&T Enterprises, LLC",35126,America/Chicago,
216.212.229.42.rose.net,Thomasville,Georgia,US,"30.8366,-83.9788",AS16700 CNSNext,31758,America/New_York,
cqbv070c101804.us2.oraclecloud.com,Austin,Texas,US,"30.2315,-97.7223",,78741,America/Chicago,
,Amsterdam,North Holland,NL,"52.3740,4.8897","AS14061 DigitalOcean, LLC",1012,Europe/Amsterdam,
pool-108-29-174-189.nycmny.fios.verizon.net,New York City,New York,US,"40.7143,-74.0060",AS701 Verizon Business,10001,America/New_York,
ool-6c3aa27a.static.optonline.net,Blauvelt,New York,US,"41.0634,-73.9576",AS6128 Cablevision Systems Corp.,10913,America/New_York,
,Atlanta,Georgia,US,"33.7490,-84.3880","AS20141 Quality Technology Services, LLC",30302,America/New_York,
96-74-220-182-static.hfc.comcastbusiness.net,Chicago,Illinois,US,"41.8500,-87.6500","AS7922 Comcast Cable Communications, LLC",60666,America/Chicago,
c-75-74-159-3.hsd1.fl.comcast.net,Doral,Florida,US,"25.8195,-80.3553","AS7922 Comcast Cable Communications, LLC",33178,America/New_York,
ool-44c2ea63.dyn.optonline.net,New York City,New York,US,"40.7143,-74.0060",AS6128 Cablevision Systems Corp.,10001,America/New_York,
69-166-65-114.block0.gvtc.com,Canyon Lake,Texas,US,"29.8752,-98.2625","AS16527 Guadalupe Valley Telephone Cooperative, Inc.",78133,America/Chicago,
dynamic.libertypr.net,Mayagüez,Mayagüez,PR,"18.2011,-67.1396",AS14638 Liberty Communications of Puerto Rico LLC,00680,America/Puerto_Rico,
syn-184-058-115-108.res.spectrum.com,Somerset,Ohio,US,"39.8070,-82.2971",AS10796 Charter Communications Inc,43783,America/New_York,
syn-108-183-170-108.res.spectrum.com,Saco,Maine,US,"43.5009,-70.4428",AS11351 Charter Communications Inc,04072,America/New_York,
service.matrixaim.ca,Toronto,Ontario,CA,"43.7064,-79.3986","AS14061 DigitalOcean, LLC",M5A,America/Toronto,
,San Jose,California,US,"37.3394,-121.8950",AS54600 PEG TECH INC,95025,America/Los_Angeles,
,Naples Park,Florida,US,"26.2617,-81.8093",AS23314 Summit Broadband,34108,America/New_York,
240.74.83.34.bc.googleusercontent.com,The Dalles,Oregon,US,"45.5946,-121.1787",AS396982 Google LLC,97058,America/Los_Angeles,
47-156-30-234.fdr01.elsn.ca.ip.frontiernet.net,Wildomar,California,US,"33.5989,-117.2800","AS5650 Frontier Communications of America, Inc.",92595,America/Los_Angeles,
,San Francisco,California,US,"37.7749,-122.4194","AS7922 Comcast Cable Communications, LLC",94102,America/Los_Angeles,
c-98-243-158-225.hsd1.mi.comcast.net,Eastpointe,Michigan,US,"42.4684,-82.9555","AS7922 Comcast Cable Communications, LLC",48021,America/Detroit,
syn-097-078-232-134.biz.spectrum.com,Bakersfield,California,US,"35.3039,-119.1056","AS33363 Charter Communications, Inc",93311,America/Los_Angeles,
dynamic.libertypr.net,San Juan,San Juan,PR,"18.4663,-66.1057",AS14638 Liberty Communications of Puerto Rico LLC,00901,America/Puerto_Rico,
,Chesterfield,South Carolina,US,"34.7360,-80.0881",AS2711 Spirit Communications,29709,America/New_York,
,Las Vegas,Nevada,US,"36.1750,-115.1372",AS53667 FranTech Solutions,89111,America/Los_Angeles,
host-208-96-92-231.public.eastlink.ca,Morrisburg,Ontario,CA,"44.9001,-75.1826",AS11260 EastLink,K0E,America/Toronto,
ec2-34-221-205-210.us-west-2.compute.amazonaws.com,Boardman,Oregon,US,"45.8399,-119.7006","AS16509 Amazon.com, Inc.",97818,America/Los_Angeles,
mysp6n-rst-190.mysummerfirst.com,Seattle,Washington,US,"47.6062,-122.3321","AS16509 Amazon.com, Inc.",98101,America/Los_Angeles,
,Jackson,Mississippi,US,"32.2988,-90.1848","AS7922 Comcast Cable Communications, LLC",39201,America/Chicago,
c-73-46-57-137.hsd1.fl.comcast.net,Coral Gables,Florida,US,"25.7215,-80.2684","AS7922 Comcast Cable Communications, LLC",33114,America/New_York,
c-73-54-214-12.hsd1.ga.comcast.net,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
ool-4357f533.dyn.optonline.net,New York City,New York,US,"40.7143,-74.0060",AS6128 Cablevision Systems Corp.,10001,America/New_York,
syn-069-204-183-253.res.spectrum.com,North Tonawanda,New York,US,"43.0387,-78.8642",AS11351 Charter Communications Inc,14120,America/New_York,
64-91-76-97.stat.centurytel.net,Superior,Wisconsin,US,"46.7208,-92.1041","AS22561 CenturyLink Communications, LLC",54880,America/Chicago,
,Frankfurt am Main,Hesse,DE,"50.1155,8.6842","AS14061 DigitalOcean, LLC",60306,Europe/Berlin,
,Ottawa,Ontario,CA,"45.4112,-75.6981",AS577 Bell Canada,K1R,America/Toronto,
static-47-180-184-41.lsan.ca.frontiernet.net,West Covina,California,US,"34.0686,-117.9390","AS5650 Frontier Communications of America, Inc.",91790,America/Los_Angeles,
,Carolina,Carolina,PR,"18.3808,-65.9574",AS14638 Liberty Communications of Puerto Rico LLC,00983,America/Puerto_Rico,
,Northampton,Massachusetts,US,"42.3251,-72.6412","AS7922 Comcast Cable Communications, LLC",01060,America/New_York,
172-97-26-155.fttx.foothillsbroadband.com,Salyersville,Kentucky,US,"37.7526,-83.0688","AS394111 Foothills Rural Telephone Cooperative Corporation, Inc.",41465,America/New_York,
ool-4b6316aa.static.optonline.net,Commack,New York,US,"40.8429,-73.2929",AS6128 Cablevision Systems Corp.,11725,America/New_York,
